season,round,pick,team,gsis_id,pfr_player_id,cfb_player_id,pfr_player_name,hof,position,category,side,college,age,to,allpro,probowls,seasons_started,w_av,car_av,dr_av,games,pass_completions,pass_attempts,pass_yards,pass_tds,pass_ints,rush_atts,rush_yards,rush_tds,receptions,rec_yards,rec_tds,def_solo_tackles,def_ints,def_sacks
2001,4,130,MIN,,WortSh20,,Shawn Worthen,False,DT,DL,D,TCU,25.0,2001.0,0,0,0,0.0,,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,,
2001,5,133,ARI,,FataMa20,,Mario Fatafehi,False,DT,DL,D,Kansas St.,22.0,2004.0,0,0,2,13.0,,1.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,,5.0
2001,6,167,ATL,,,,Randy Garner,False,DE,DL,D,Arkansas,,,0,0,0,,,,,,,,,,,,,,,,,,
2001,6,171,DAL,,StewDa20,,Daleroy Stewart,False,DT,DL,D,Southern Miss,22.0,2004.0,0,0,0,3.0,,2.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,,1.5
2001,6,181,PIT,,BailRo21,,Rodney Bailey,False,DE,DL,D,Ohio St.,21.0,2007.0,0,0,0,7.0,,6.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,,9.5
2001,6,183,TAM,,WymsEl20,ellis-wyms-1,Ellis Wyms,False,DE,DL,D,Mississippi St.,22.0,2008.0,0,0,1,13.0,,11.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.0,,19.0
2001,6,184,OAK,,CoopCh20,,Chris Cooper,False,DT,DL,D,Nebraska-Omaha,24.0,2007.0,0,0,1,12.0,,10.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0,1.0,8.5
2001,6,186,WAS,,MondMa20,,Mario Monds,False,DT,DL,D,Cincinnati,24.0,2004.0,0,0,0,1.0,,,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,,
2001,6,187,MIA,,LeveOt20,,Otis Leverette,False,DE,DL,D,Ala-Birmingham,23.0,2004.0,0,0,0,3.0,,,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,1.0,2.0
2001,6,191,SFO,,,,Menson Holloway,False,DE,DL,D,Texas-El Paso,,,0,0,0,,,,,,,,,,,,,,,,,,
2001,7,206,NYJ,,ReedJa21,,James Reed,False,DT,DL,D,Iowa St.,24.0,2007.0,0,0,2,19.0,,12.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162.0,,7.0
2001,7,207,DAL,,WeatCo20,,Colston Weatherington,False,DE,DL,D,Central Missouri St.,23.0,2002.0,0,0,0,0.0,,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,
2001,7,221,NOR,,,,Ennis Davis,False,DT,DL,D,USC,,,0,0,0,,,,,,,,,,,,,,,,,,
2001,7,226,ATL,,FlemRo20,,Ronald Flemons,False,DE,DL,D,Texas A&M,21.0,2004.0,0,0,0,0.0,,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.5
2001,7,230,NYG,,KoloRo20,ross-kolodziej-1,Ross Kolodziej,False,DT,DL,D,Wisconsin,23.0,2007.0,0,0,1,12.0,,1.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,,4.0
2001,7,231,BAL,,MissDw20,missouri-1,Dwayne Missouri,False,DE,DL,D,Northwestern,22.0,2001.0,0,0,0,0.0,,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2001,7,234,TAM,,TafoJo20,,Joe Tafoya,False,DE,DL,D,Arizona,23.0,2007.0,0,0,0,10.0,,,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,,3.5
2001,7,237,SEA,,KocuKr20,,Kris Kocurek,False,DT,DL,D,Texas Tech,22.0,2001.0,0,0,0,0.0,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2001,7,238,BUF,,RobeTy20,,Tyrone Robertson,False,DT,DL,D,Georgia,22.0,2001.0,0,0,0,1.0,,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,,2.0
2001,7,240,DAL,,NixxJo20,,John Nix,False,DT,DL,D,Southern Miss,24.0,2004.0,0,0,0,2.0,,2.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,,
2001,7,241,JAX,,ChevRa20,,Randy Chevrier,False,DT,DL,D,McGill,25.0,2001.0,0,0,0,0.0,,,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,
