season,round,pick,Team Abbr,gsis_id,pfr_player_id,cfb_player_id,pfr_player_name,hof,position,category,side,college,age,to,allpro,probowls,seasons_started,w_av,car_av,dr_av,games,pass_completions,pass_attempts,pass_yards,pass_tds,pass_ints,rush_atts,rush_yards,rush_tds,receptions,rec_yards,rec_tds,def_solo_tackles,def_ints,def_sacks
2003,1,18,ARI,,PaceCa20,,Calvin Pace,False,DE,DL,D,Wake Forest,22.0,2015.0,0,0,10,61.0,,13.0,187.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,470.0,3.0,60.0
2003,1,32,OAK,,BrayTy20,tyler-brayton-1,Tyler Brayton,False,DE,DL,D,Colorado,23.0,2011.0,0,0,6,40.0,,17.0,141.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,252.0,1.0,17.5
2003,2,48,BUF,,KelsCh21,,Chris Kelsay,False,DE,DL,D,Nebraska,23.0,2012.0,0,0,8,46.0,,46.0,147.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,293.0,3.0,32.5
2003,2,56,NYG,,UmenOs99,,Osi Umenyiora,False,DE,DL,D,Troy,21.0,2014.0,1,2,6,63.0,,57.0,161.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,316.0,1.0,85.0
2003,2,57,SF,,AdamAn20,,Anthony Adams,False,DT,DL,D,Penn St.,23.0,2011.0,0,0,4,33.0,,13.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,214.0,,10.5
2003,3,66,DET,,ReddCo20,cory-redding-1,Cory Redding,False,DE,DL,D,Texas,22.0,2015.0,0,0,10,54.0,,26.0,188.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,309.0,2.0,35.5
2003,4,109,BAL,,JohnJa23,,Jarret Johnson,False,DE,DL,D,Alabama,22.0,2014.0,0,0,9,55.0,,45.0,184.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,368.0,3.0,25.5
2003,4,116,CHI,,ScotIa20,ian-scott-1,Ian Scott,False,DT,DL,D,Florida,21.0,2009.0,0,0,3,22.0,,19.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,1.0,3.0
2003,5,138,IND,,MathRo20,,Robert Mathis,False,DE,DL,D,Alabama A&M,22.0,2016.0,1,5,9,67.0,,67.0,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,408.0,1.0,123.0
2003,5,146,BAL,,FranAu20,,Aubrayo Franklin,False,DT,DL,D,Tennessee,23.0,2013.0,0,0,7,42.0,,3.0,142.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,195.0,1.0,4.0
2004,1,14,CHI,,HarrTo99,tommie-harris-1,Tommie Harris,False,DT,DL,D,Oklahoma,21.0,2011.0,0,3,6,56.0,,55.0,117.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187.0,1.0,31.5
2004,1,18,NO,,SmitWi99,will-smith-1,Will Smith,False,DE,DL,D,Ohio St.,23.0,2012.0,0,1,7,52.0,,52.0,139.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,329.0,2.0,67.5
2004,1,20,MIN,,UdezKe20,kenechi-udeze-1,Kenechi Udeze,False,DE,DL,D,USC,21.0,2007.0,0,0,3,20.0,,20.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,,11.0
2004,1,21,NE,,WilfVi20,vince-wilfork-1,Vince Wilfork,False,NT,DL,D,Miami (FL),22.0,2016.0,1,5,11,90.0,,81.0,189.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,367.0,3.0,16.0
2004,2,35,SD,,OlshIg20,igor-olshansky-1,Igor Olshansky,False,DE,DL,D,Oregon,22.0,2011.0,0,0,7,39.0,,28.0,115.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166.0,1.0,12.5
2004,2,42,TEN,,LaBoTr20,travis-laboy-1,Travis LaBoy,False,DE,DL,D,Hawaii,23.0,2011.0,0,0,3,21.0,,10.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147.0,1.0,29.5
2004,2,51,BAL,,EdwaDw20,,Dwan Edwards,False,DT,DL,D,Oregon St.,23.0,2015.0,0,0,5,32.0,,15.0,136.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,221.0,3.0,19.5
2004,2,57,TEN,,OdomAn20,,Antwan Odom,False,DE,DL,D,Alabama,22.0,2010.0,0,0,4,24.0,,16.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,,23.5
2004,3,64,ARI,,DockDa20,darnell-dockett-1,Darnell Dockett,False,DT,DL,D,Florida St.,23.0,2013.0,0,3,10,69.0,,69.0,158.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,358.0,4.0,40.5
2004,3,71,TEN,,StarRa20,,Randy Starks,False,DT,DL,D,Maryland,20.0,2015.0,0,2,8,61.0,,10.0,186.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,4.0,42.0
2004,4,98,SD,,PhilSh20,shaun-phillips-1,Shaun Phillips,False,DE,DL,D,Purdue,23.0,2014.0,0,1,8,54.0,,48.0,168.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,406.0,7.0,81.5
2004,4,104,SF,,SopoIs20,,Isaac Sopoaga,False,DT,DL,D,Hawaii,23.0,2013.0,0,0,5,38.0,,35.0,139.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,18.0,0.0,158.0,,8.5
2004,4,117,CIN,,GeatRo21,robert-geathers-1,Robert Geathers,False,DE,DL,D,Georgia,21.0,2014.0,0,0,7,46.0,,46.0,152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.0,3.0,34.0
2004,4,126,KC,,AlleJa22,,Jared Allen,False,DE,DL,D,Idaho St.,22.0,2015.0,4,5,12,101.0,,31.0,187.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,503.0,6.0,136.0
2004,5,135,ARI,,SmitAn22,,Antonio Smith,False,DE,DL,D,Oklahoma St.,22.0,2016.0,0,1,8,56.0,,14.0,186.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.0,,47.5
2004,6,179,GB,,WillCo21,,Corey Williams,False,DT,DL,D,Arkansas St.,24.0,2012.0,0,0,5,33.0,,11.0,126.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,2.0,27.5
2005,1,16,HOU,,JohnTr20,,Travis Johnson,False,DT,DL,D,Florida St.,23.0,2010.0,0,0,3,17.0,,15.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.0,1.0,3.0
2005,1,20,DAL,,SpeaMa21,marcus-spears-1,Marcus Spears,False,DE,DL,D,LSU,22.0,2013.0,0,0,6,36.0,,35.0,124.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143.0,,10.0
2005,1,28,SD,,CastLu20,,Luis Castillo,False,DE,DL,D,Northwestern,22.0,2011.0,0,0,6,33.0,,33.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.0,2.0,19.0
2005,1,31,PHI,,PattMi20,mike-patterson-1,Mike Patterson,False,DT,DL,D,USC,22.0,2014.0,0,0,6,48.0,,44.0,147.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,287.0,1.0,16.5
2005,2,37,DET,,CodySh20,shaun-cody-1,Shaun Cody,False,DT,DL,D,USC,22.0,2012.0,0,0,4,28.0,,5.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.0,1.0,3.0
2005,2,46,MIA,,RothMa20,,Matt Roth,False,DE,DL,D,Iowa,22.0,2011.0,0,0,5,27.0,,14.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,216.0,,23.5
2005,2,59,ATL,,BabiJo20,jonathan-babineaux-1,Jonathan Babineaux,False,DE,DL,D,Iowa,23.0,2016.0,0,0,10,52.0,,52.0,185.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291.0,4.0,27.0
2005,3,74,NYG,,TuckJu20,,Justin Tuck,False,DE,DL,D,Notre Dame,22.0,2015.0,1,2,7,65.0,,59.0,147.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,354.0,3.0,66.5
